Symbol,Approved_Symbol
rs74208393,rs9732814
rs74213255,rs9732814
rs74211758,rs9732816
rs10128382,rs9732843
rs9794512,rs9732851
rs71222813,rs9732854
rs9794521,rs9732865
rs9794540,rs9732907
rs10128392,rs9732916
rs9794545,rs9732918
rs71255436,rs9732918
rs9733493,rs9733064
rs9794573,rs9733064
rs9794722,rs9733064
rs12373407,rs9733064
rs9733494,rs9733065
rs9794723,rs9733071
rs71242102,rs9733071
rs9733508,rs9733075
rs74207316,rs9733075
rs10082514,rs9733084
rs9794591,rs9733111
rs71270215,rs9733111
rs10128428,rs9733114
rs9783234,rs9733116
rs74209493,rs9733116
rs74209733,rs9733116
rs74211443,rs9733116
rs9794593,rs9733122
rs66687678,rs9733122
rs66687679,rs9733122
rs9794595,rs9733130
rs9794597,rs9733133
rs9794606,rs9733144
rs9794612,rs9733159
rs71225867,rs9733167
rs71224591,rs9733174
rs71236395,rs9733177
rs9794424,rs9733184
rs9794619,rs9733192
rs10128439,rs9733217
rs9794634,rs9733229
rs9794641,rs9733239
rs9794488,rs9733257
rs10128444,rs9733257
rs10128446,rs9733262
rs9794685,rs9733404
rs9794700,rs9733453
rs9794517,rs9733470
rs9794705,rs9733470
rs10128474,rs9733475
rs10128475,rs9733484
rs9794575,rs9733502
rs9794730,rs9733512
rs74194728,rs9733512
rs74221423,rs9733512
rs10129099,rs9741598
rs10129124,rs9742680
rs10444662,rs9742936
rs36133146,rs9768322
rs11139237,rs9777146
rs9802965,rs9777735
rs10448530,rs9777742
rs10448465,rs9777748
rs10442118,rs9777807
rs10442131,rs9777811
rs10448481,rs9777846
rs10448424,rs9777889
rs10448425,rs9777926
rs10442145,rs9777951
rs9803042,rs9777982
rs10448541,rs9778179
rs9803130,rs9778256
rs28790676,rs9778263
rs28624430,rs9785377
rs28376404,rs9785396
rs11534430,rs9785429
rs9794314,rs9794245
rs74218824,rs9794245
rs71264053,rs9794250
rs67035480,rs9794259
rs67035481,rs9794259
rs74220502,rs9794387
rs9888064,rs9794405
rs9794636,rs9794482
rs9794653,rs9794489
rs9794654,rs9794490
rs10128471,rs9794515
rs71255033,rs9794518
rs9919466,rs9794525
rs67398210,rs9794525
rs67398211,rs9794525
rs71254128,rs9794533
rs71232672,rs9794626
rs71253430,rs9794626
rs36168769,rs9794628
rs56344895,rs9794630
rs68130871,rs9794657
rs68130872,rs9794657
rs36179112,rs9794707
rs28809537,rs9794711
rs71229287,rs9794719
rs10400172,rs9794725
rs10448455,rs9803119
rs28816206,rs9803119
rs10448631,rs9886943
rs10128476,rs9919471
rs13372241,rs9970010
rs28515050,rs9970324
rs28416115,rs9970611
rs10436528,rs9988025
rs10156738,rs9988037
rs10442265,rs9988037
rs10453618,rs9988038
rs10436615,rs9988051
rs10448771,rs9988052
rs10442289,rs9988054
rs10453629,rs9988066
rs10448664,rs9988072
rs10448772,rs9988073
rs28469478,rs9988076
rs10448790,rs9988084
rs10436616,rs9988135
rs10448730,rs9988152
rs28807970,rs9988152
rs28548357,rs9988169
rs28539257,rs9988177
rs13350825,rs10022118
rs10869545,rs10116994
rs10442230,rs10126063
rs28541492,rs10127667
rs10400140,rs10128395
rs10128478,rs10128419
rs10160041,rs10128440
rs66559817,rs10128447
rs66559818,rs10128447
rs66559819,rs10128447
rs71259587,rs10128447
rs13368123,rs10145286
rs12101063,rs10145731
rs28870138,rs10156693
rs28788552,rs10156713
rs10448675,rs10156727
rs28665045,rs10156838
rs10442279,rs10156840
rs10442278,rs10156854
rs10442264,rs10156863
rs10448574,rs10156865
rs10442266,rs10156880
rs10453615,rs10156890
rs13442479,rs10232685
rs13446174,rs10273555
rs11509291,rs10283943
rs28801469,rs10283944
rs28626214,rs10283954
rs10454401,rs10429643
rs28872919,rs10429643
rs10448653,rs10429698
rs10453431,rs10429723
rs28750767,rs10436395
rs28846386,rs10436397
rs28488713,rs10436401
rs28763654,rs10436412
rs28444103,rs10436415
rs28811053,rs10436422
rs28891135,rs10436424
rs28864204,rs10436426
rs28835710,rs10436427
rs28871994,rs10436428
rs28887803,rs10436453
rs28600242,rs10436457
rs28754314,rs10436458
rs28862895,rs10436511
rs28882143,rs10436512
rs28817368,rs10442119
rs28708410,rs10442128
rs28881262,rs10442136
rs28869210,rs10442137
rs28804387,rs10442138
rs28886986,rs10442154
rs28822389,rs10442158
rs28830176,rs10442158
rs28858526,rs10442159
rs28370364,rs10442204
rs28584016,rs10442205
rs28607593,rs10442253
rs28599937,rs10442254
rs28756040,rs10442255
rs10448538,rs10443115
rs28406681,rs10443155
rs28877432,rs10448438
rs28618316,rs10448458
rs28405207,rs10448459
rs11122766,rs10448463
rs10448972,rs10448476
rs10448866,rs10448477
rs10448865,rs10448478
rs28522964,rs10448508
rs28750828,rs10448514
rs28670510,rs10448519
rs28868877,rs10448525
rs28873975,rs10448527
rs28875591,rs10448528
rs28886598,rs10448529
rs10449627,rs10448535
rs28773774,rs10448549
rs28800308,rs10448557
rs28829631,rs10448567
rs28783123,rs10448570
rs28516765,rs10448623
rs28763422,rs10448635
rs28831222,rs10448636
rs28430984,rs10448644
rs28691661,rs10448746
rs28535038,rs10448752
rs28620714,rs10448753
rs28489757,rs10448759
rs10449392,rs10449391
rs10449393,rs10449391
rs10449394,rs10449391
rs10449541,rs10449391
rs10449542,rs10449391
rs59135313,rs10452307
rs57788502,rs10452308
rs12161112,rs10452311
rs58244716,rs10452313
rs28850278,rs10453377
rs28886924,rs10453378
rs28835660,rs10453379
rs28430771,rs10453401
rs28821315,rs10453403
rs28444193,rs10453488
rs28630884,rs10453489
rs28709042,rs10453491
rs28672686,rs10453571
rs28493308,rs10453591
rs28560328,rs10453592
rs28636454,rs10453595
rs34305954,rs10864795
rs36183670,rs10913448
rs11839936,rs11082893
rs35642872,rs11082893
rs58061303,rs11082893
rs28411167,rs11492031
rs28709726,rs11492032
rs62554168,rs11496975
rs28762428,rs11497319
rs28836590,rs11497320
rs28815584,rs11508591
rs28542648,rs11522344
rs28785178,rs11531982
rs28697261,rs11531986
rs28642180,rs11534433
rs28882085,rs11535681
rs28861448,rs11535682
rs17842813,rs11540359
rs28884175,rs11560822
rs28812566,rs11562639
rs35874984,rs11690347
rs36126900,rs11762694
rs58550149,rs11762694
rs12682971,rs11795411
rs36192901,rs11876261
rs61672120,rs11876261
rs35898956,rs12418701
rs36168921,rs12477440
rs34725654,rs12558092
rs36170243,rs12726019
rs36149661,rs12727734
rs36188827,rs12748697
rs71233115,rs12748697
rs36186319,rs13020516
rs36179263,rs13060650
rs36163493,rs13096774
rs62552107,rs13284029
rs71419473,rs13415734
rs36149196,rs28790276
rs62554177,rs28820586
rs71268240,rs28887472
rs36142017,rs28891131
rs60430178,rs28891131
rs35826055,rs28891738
rs71184969,rs34075773
rs36130885,rs34530619
rs56327990,rs34530619
rs57216913,rs34530619
rs71207661,rs34565088
rs62206042,rs34663084
rs36165130,rs34681536
rs71211192,rs34681536
rs60634950,rs34879980
rs62196391,rs35410062
rs62205972,rs35483507
rs58262457,rs35491888
rs71240087,rs35739846
rs36143644,rs36133589
rs36187097,rs36141044
rs74185741,rs36142069
rs71279318,rs36142490
rs36158138,rs36142854
rs74213615,rs36142854
rs71240249,rs36155476
rs74191826,rs36158585
rs71281797,rs36163722
rs36192157,rs36168334
rs74185239,rs36172345
rs36192419,rs36175884
rs71279035,rs36177589
rs74189652,rs36181643
rs74197554,rs36186874
rs71197679,rs36187156
rs71279313,rs36191820
rs58426351,rs55756906
rs57003732,rs55964324
rs61815379,rs55964324
rs57004651,rs56089230
rs62315109,rs56332778
rs59780244,rs56378652
rs62305640,rs58482446
rs72471645,rs61814264
rs72471652,rs61814403
rs71246078,rs61815410
rs74117301,rs61815865
rs74220805,rs61816018
rs74226774,rs61816590
rs74176545,rs62183284
rs74176542,rs62183285
rs62556673,rs62546887
rs62556672,rs62546888
rs66669934,rs66465324
rs66669935,rs66465324
rs74192355,rs66465324
rs66547836,rs66547835
rs66567674,rs66567673
rs66567676,rs66567675
rs66615119,rs66615118
rs66627775,rs66627774
rs66672250,rs66672249
rs66701933,rs66701932
rs66754804,rs66754803
rs66770248,rs66770246
rs66777713,rs66777712
rs66782577,rs66782576
rs66831623,rs66831622
rs66833035,rs66833034
rs66838715,rs66838714
rs66856269,rs66856268
rs66859457,rs66859456
rs71223964,rs66859456
rs66896601,rs66896600
rs66908102,rs66908101
rs66912103,rs66908101
rs66912104,rs66908101
rs66928824,rs66928823
rs66942032,rs66942031
rs66944990,rs66944989
rs66950450,rs66950449
rs66958825,rs66958824
rs71253803,rs66958824
rs66984579,rs66984578
rs67032018,rs67032017
rs67033263,rs67033262
rs67058370,rs67058369
rs67062444,rs67062443
rs67062445,rs67062443
rs67116077,rs67062443
rs67116078,rs67062443
rs67116079,rs67062443
rs67116080,rs67062443
rs67116081,rs67062443
rs67116082,rs67062443
rs67116083,rs67062443
rs67116084,rs67062443
rs67116085,rs67062443
rs67116086,rs67062443
rs67116087,rs67062443
rs67066376,rs67066375
rs67071402,rs67071401
rs67106032,rs67106031
rs67107231,rs67107230
rs67107232,rs67107230
rs67107233,rs67107230
rs67129946,rs67129945
rs67151242,rs67151241
rs67151651,rs67151650
rs67153890,rs67153889
rs67223775,rs67223774
rs67246337,rs67246336
rs67255015,rs67255014
rs67286793,rs67286792
rs67303834,rs67303833
rs67324522,rs67324521
rs67332661,rs67332660
rs67336288,rs67336287
rs67366356,rs67366355
rs67398796,rs67398795
rs67440773,rs67440772
rs67478772,rs67478771
rs67480808,rs67480807
rs67521802,rs67521801
rs67532003,rs67529102
rs67531238,rs67531237
rs67546575,rs67546574
rs67573963,rs67573962
rs67600390,rs67600389
rs67616988,rs67616987
rs67633159,rs67633158
rs67633160,rs67633158
rs67634032,rs67634031
rs67657659,rs67657658
rs67669599,rs67669598
rs67704432,rs67704431
rs67775235,rs67775234
rs67783361,rs67783360
rs67799279,rs67799278
rs67821181,rs67821180
rs67833926,rs67833925
rs67905923,rs67905922
rs67965309,rs67965308
rs67967017,rs67967016
rs67988678,rs67988677
rs68011376,rs68011375
rs68017728,rs68017727
rs68017729,rs68017727
rs68017730,rs68017727
rs68017731,rs68017727
rs68017732,rs68017727
rs145108356,rs68017727
rs68027630,rs68027629
rs68041934,rs68041933
rs68082778,rs68082777
rs68096962,rs68096961
rs68107752,rs68107751
rs68108645,rs68108644
rs68113830,rs68113829
rs68152995,rs68152994
rs68180339,rs68180338
rs71263731,rs71213854
rs71242143,rs71224020
rs74117293,rs71226368
rs71288120,rs71233088
rs71253317,rs71241351
rs71260577,rs71242278
rs71264370,rs71248334
rs149004865,rs71249076
rs71254263,rs71253975
rs71288116,rs71263524
rs71307024,rs71305618
rs141204076,rs71654574
rs72569487,rs72511407
rs74197426,rs74188048
rs74220010,rs74200816
rs74214448,rs74203004
rs74382812,rs74207806
rs113619482,rs74644371
rs145014686,rs74993943
rs79186025,rs75909128
rs78938795,rs75936347
rs111513004,rs76223199
rs80248883,rs78163742
None,rs111039697
None,rs111040019
None,rs111102342
None,rs111114281
None,rs111131932
None,rs111148713
None,rs111214275
None,rs111227060
None,rs111237066
None,rs111241154
None,rs111243667
None,rs111244435
None,rs111248518
None,rs111250479
None,rs111250613
None,rs111253827
None,rs111254186
None,rs111256060
None,rs111257930
None,rs111264273
None,rs111268812
None,rs111300540
None,rs111302295
None,rs111305722
None,rs111311460
None,rs111313918
None,rs111318997
None,rs111323885
None,rs111324103
None,rs111330735
None,rs111331756
None,rs111332307
None,rs111332594
None,rs111333426
None,rs111334452
None,rs111334776
None,rs111334969
None,rs111335134
None,rs111335236
None,rs111338677
None,rs111341627
None,rs111345149
None,rs111400837
None,rs111401991
None,rs111410829
None,rs111410852
None,rs111410856
None,rs111411277
None,rs111415396
None,rs111425186
None,rs111432427
None,rs111438440
None,rs111442060
None,rs111443351
None,rs111455586
None,rs111467090
None,rs111471836
None,rs111489939
None,rs111498585
None,rs111499757
None,rs111512138
None,rs111512741
None,rs111514063
None,rs111514837
None,rs111518315
None,rs111527002
None,rs111536689
None,rs111559985
None,rs111575382
None,rs111592208
None,rs111595200
None,rs111595509
None,rs111595625
None,rs111595661
None,rs111598976
None,rs111601225
None,rs111601455
None,rs111603912
None,rs111606174
None,rs111611290
None,rs111613194
None,rs111616354
None,rs111631612
None,rs111648395
None,rs111649879
None,rs111652890
None,rs111656141
None,rs111658861
None,rs111667543
None,rs111670509
None,rs111677026
None,rs111679799
None,rs111680051
None,rs111680752
None,rs111681326
None,rs111687049
None,rs111688259
None,rs111688818
None,rs111694669
None,rs111703188
None,rs111708197
None,rs111710943
None,rs111711652
None,rs111727816
None,rs111732169
None,rs111742020
None,rs111743601
None,rs111747707
None,rs111750956
None,rs111755140
None,rs111760444
None,rs111761407
None,rs111763810
None,rs111764295
None,rs111768789
None,rs111782978
None,rs111789865
None,rs111798450
None,rs111803565
None,rs111804918
None,rs111824559
None,rs111826094
None,rs111839626
None,rs111842930
None,rs111843551
None,rs111847183
None,rs111856867
None,rs111859762
None,rs111869171
None,rs111869950
None,rs111875671
None,rs111880406
None,rs111884646
None,rs111892393
None,rs111899723
None,rs111900140
None,rs111901765
None,rs111910518
None,rs111913937
None,rs111916768
None,rs111919436
None,rs111946319
None,rs111953107
None,rs111957750
None,rs111970573
None,rs111991339
None,rs112000257
None,rs112001931
None,rs112003418
None,rs112010558
None,rs112020491
None,rs112032544
None,rs112041847
None,rs112049059
None,rs112053039
None,rs112074097
None,rs112082556
None,rs112107323
None,rs112113398
None,rs112115978
None,rs112117941
None,rs112121194
None,rs112124601
None,rs112126819
None,rs112128253
None,rs112137128
None,rs112142992
None,rs112146589
None,rs112156846
None,rs112157148
None,rs112158566
None,rs112161692
None,rs112166197
None,rs112170115
None,rs112179239
None,rs112189477
None,rs112190556
None,rs112191534
None,rs112198260
None,rs112198614
None,rs112200850
None,rs112202928
None,rs112204729
None,rs112208608
None,rs112213214
None,rs112214472
None,rs112215443
None,rs112227466
None,rs112238909
None,rs112245979
None,rs112267917
None,rs112275811
None,rs112277066
None,rs112278944
None,rs112289569
None,rs112290855
None,rs112298848
None,rs112300708
None,rs112301481
None,rs112308937
None,rs112313832
None,rs112322337
None,rs112325025
None,rs112342691
None,rs112357696
None,rs112357771
None,rs112359370
None,rs112369599
None,rs112377999
None,rs112379336
None,rs112383882
None,rs112388613
None,rs112391266
None,rs112391737
None,rs112392149
None,rs112396775
None,rs112405422
None,rs112409518
None,rs112411537
None,rs112427230
None,rs112437126
None,rs112449054
None,rs112451242
None,rs112455353
None,rs112456173
None,rs112458933
None,rs112462475
None,rs112462646
None,rs112467235
None,rs112471430
None,rs112476534
None,rs112480483
None,rs112480601
None,rs112484512
None,rs112488347
None,rs112501264
None,rs112521294
None,rs112533406
None,rs112536936
None,rs112538500
None,rs112554651
None,rs112558171
None,rs112562361
None,rs112562769
None,rs112571344
None,rs112573376
None,rs112577189
None,rs112580790
None,rs112586890
None,rs112590283
None,rs112601668
None,rs112606080
None,rs112613162
None,rs112613529
None,rs112616871
None,rs112625960
None,rs112626504
None,rs112626665
None,rs112626925
None,rs112633319
None,rs112637994
None,rs112640039
None,rs112643943
None,rs112648920
None,rs112649287
None,rs112650646
None,rs112652587
None,rs112658893
None,rs112661790
None,rs112669337
None,rs112677174
None,rs112687004
None,rs112695752
None,rs112696564
None,rs112704584
None,rs112707714
None,rs112708471
None,rs112714544
None,rs112717403
None,rs112717527
None,rs112723538
None,rs112733404
None,rs112734690
None,rs112735486
None,rs112738070
None,rs112741812
None,rs112743305
None,rs112744300
None,rs112745878
None,rs112745896
None,rs112747529
None,rs112748217
None,rs112749837
None,rs112751948
None,rs112753798
None,rs112764057
None,rs112767246
None,rs112769011
None,rs112778866
None,rs112781978
None,rs112782641
None,rs112785796
None,rs112803136
None,rs112810047
None,rs112812029
None,rs112815165
None,rs112817435
None,rs112823621
None,rs112826607
None,rs112828174
None,rs112832629
None,rs112840311
None,rs112841704
None,rs112842720
None,rs112846529
None,rs112846848
None,rs112857565
None,rs112858806
None,rs112860583
None,rs112864575
None,rs112872749
None,rs112882285
None,rs112883457
None,rs112893235
None,rs112894987
None,rs112896252
None,rs112903396
None,rs112914113
None,rs112921514
None,rs112923137
None,rs112935059
None,rs112941506
None,rs112944533
None,rs112949808
None,rs112950841
None,rs112957020
None,rs112957396
None,rs112962920
None,rs112965285
None,rs112967077
None,rs112967252
None,rs112983160
None,rs112985547
None,rs112989969
None,rs112991284
None,rs112991470
None,rs112995811
None,rs113005119
None,rs113005934
None,rs113008595
None,rs113012156
None,rs113015537
None,rs113026667
None,rs113030352
None,rs113034744
None,rs113041581
None,rs113041658
None,rs113052573
None,rs113062574
None,rs113069928
None,rs113070192
None,rs113072207
None,rs113075390
None,rs113075416
None,rs113076578
None,rs113079354
None,rs113082532
None,rs113084635
None,rs113089865
None,rs113090977
None,rs113113071
None,rs113115335
None,rs113120139
None,rs113126840
None,rs113139775
None,rs113140803
None,rs113143146
None,rs113144047
None,rs113170052
None,rs113170249
None,rs113173028
None,rs113180039
None,rs113186552
None,rs113191644
None,rs113200951
None,rs113204526
None,rs113206241
None,rs113213715
None,rs113222271
None,rs113230363
None,rs113234716
None,rs113240249
None,rs113242895
None,rs113255778
None,rs113262191
None,rs113278397
None,rs113280276
None,rs113289639
None,rs113292771
None,rs113299259
None,rs113299324
None,rs113300569
None,rs113303900
None,rs113306269
None,rs113307885
None,rs113310888
None,rs113321029
None,rs113329477
None,rs113342405
None,rs113345427
None,rs113356462
None,rs113359542
None,rs113364035
None,rs113366149
None,rs113367032
None,rs113368752
None,rs113370680
None,rs113371889
None,rs113380002
None,rs113395412
None,rs113396931
None,rs113397859
None,rs113401943
None,rs113405063
None,rs113407705
None,rs113408993
None,rs113416315
None,rs113417342
None,rs113418876
None,rs113420088
None,rs113420762
None,rs113421506
None,rs113434294
None,rs113446480
None,rs113449802
None,rs113450632
None,rs113457072
None,rs113460413
None,rs113461637
None,rs113472389
None,rs113475635
None,rs113484292
None,rs113492243
None,rs113495289
None,rs113512874
None,rs113520784
None,rs113520998
None,rs113523305
None,rs113534184
None,rs113539716
None,rs113548849
None,rs113549622
None,rs113549963
None,rs113553947
None,rs113567760
None,rs113570044
None,rs113571281
None,rs113573921
None,rs113574336
None,rs113575061
None,rs113579473
None,rs113580264
None,rs113591578
None,rs113594645
None,rs113599283
None,rs113603106
None,rs113605987
None,rs113608364
None,rs113608601
None,rs113610503
None,rs113614491
None,rs113616466
None,rs113625759
None,rs113630095
None,rs113632258
None,rs113639548
None,rs113640062
None,rs113649024
None,rs113668163
None,rs113669527
None,rs113673354
None,rs113688140
None,rs113688300
None,rs113690654
None,rs113699174
None,rs113700189
None,rs113719017
None,rs113721087
None,rs113721444
None,rs113723665
None,rs113732210
None,rs113732396
None,rs113733559
None,rs113738708
None,rs113748974
None,rs113751732
None,rs113753520
None,rs113776004
None,rs113777650
None,rs113780449
None,rs113784099
None,rs113787374
None,rs113793760
None,rs113804597
None,rs113807314
None,rs113816708
None,rs113832119
None,rs113833188
None,rs113834800
None,rs113842510
None,rs113844892
None,rs113859853
None,rs113867004
None,rs113870496
None,rs113875269
None,rs113877061
None,rs113877062
None,rs113881560
None,rs113885906
None,rs113891127
None,rs113907041
None,rs113912384
None,rs113913912
None,rs113914735
None,rs113919139
None,rs113939561
None,rs113963003
None,rs113965266
None,rs114082640
None,rs114305684
None,rs114652398
None,rs115719147
None,rs115732388
None,rs116099445
None,rs116266297
None,rs116353673
None,rs117804283
None,rs117935243
None,rs118195737
None,rs118198140
None,rs118200325
None,rs137865478
None,rs137868966
None,rs137884107
None,rs137885890
None,rs137892090
None,rs137899450
None,rs137910079
None,rs137910444
None,rs137920166
None,rs137937374
None,rs137940749
None,rs137950420
None,rs137956816
None,rs137963607
None,rs137980293
None,rs137981867
None,rs137998341
None,rs138005545
None,rs138017147
None,rs138023718
None,rs138031964
None,rs138044586
None,rs138052627
None,rs138056222
None,rs138062527
None,rs138064431
None,rs138065148
None,rs138076127
None,rs138076405
None,rs138082251
None,rs138084843
None,rs138086748
None,rs138087262
None,rs138098054
None,rs138110340
None,rs138112901
None,rs138117044
None,rs138117175
None,rs138123061
None,rs138123342
None,rs138123393
None,rs138126022
None,rs138140470
None,rs138163486
None,rs138169905
None,rs138170554
None,rs138186013
None,rs138187587
None,rs138198162
None,rs138203277
None,rs138205696
None,rs138211114
None,rs138221632
None,rs138232205
None,rs138239385
None,rs138240912
None,rs138254054
None,rs138258185
None,rs138271662
None,rs138274997
None,rs138277934
None,rs138282021
None,rs138289130
None,rs138290087
None,rs138308555
None,rs138309954
None,rs138310768
None,rs138316486
None,rs138320637
None,rs138320813
None,rs138325215
None,rs138325431
None,rs138334686
None,rs138341275
None,rs138350223
None,rs138354781
None,rs138357628
None,rs138371150
None,rs138375697
None,rs138385631
None,rs138392169
None,rs138396775
None,rs138406711
None,rs138411668
None,rs138416152
None,rs138419381
None,rs138422252
None,rs138429806
None,rs138430354
None,rs138439372
None,rs138445761
None,rs138449884
None,rs138452845
None,rs138455657
None,rs138456697
None,rs138460426
None,rs138472297
None,rs138478328
None,rs138484383
None,rs138485572
None,rs138487673
None,rs138489726
None,rs138503841
None,rs138512919
None,rs138514984
None,rs138532427
None,rs138532703
None,rs138535644
None,rs138542367
None,rs138550248
None,rs138554926
None,rs138557396
None,rs138569173
None,rs138587529
None,rs138588116
None,rs138599892
None,rs138601589
None,rs138603224
None,rs138604214
None,rs138616407
None,rs138617628
None,rs138618301
None,rs138619500
None,rs138636376
None,rs138642275
None,rs138650068
None,rs138650118
None,rs138651957
None,rs138653240
None,rs138653664
None,rs138656805
None,rs138660426
None,rs138668067
None,rs138669567
None,rs138669660
None,rs138673304
None,rs138677539
None,rs138685736
None,rs138690151
None,rs138691172
None,rs138709104
None,rs138717454
None,rs138718871
None,rs138731433
None,rs138733524
None,rs138739494
None,rs138751392
None,rs138751770
None,rs138757770
None,rs138759692
None,rs138764054
None,rs138774855
None,rs138784020
None,rs138786307
None,rs138790401
None,rs138792009
None,rs138797347
None,rs138809882
None,rs138819994
None,rs138846081
None,rs138867956
None,rs138873028
None,rs138874993
None,rs138875092
None,rs138878284
None,rs138880013
None,rs138887379
None,rs138887825
None,rs138892981
None,rs138901797
None,rs138919229
None,rs138933446
None,rs138937538
None,rs138942607
None,rs138943856
None,rs138946127
None,rs138952170
None,rs138953466
None,rs138958199
None,rs138962217
None,rs138971751
None,rs138979472
None,rs138998972
None,rs139001780
None,rs139004214
None,rs139007253
None,rs139015178
None,rs139019178
None,rs139020410
None,rs139029428
None,rs139030297
None,rs139031086
None,rs139033569
None,rs139041268
None,rs139050875
None,rs139071686
None,rs139114571
None,rs139118194
None,rs139127356
None,rs139127911
None,rs139149261
None,rs139156643
None,rs139162299
None,rs139165080
None,rs139169457
None,rs139175433
None,rs139175485
None,rs139191247
None,rs139192061
None,rs139218384
None,rs139218417
None,rs139218842
None,rs139222387
None,rs139239275
None,rs139240951
None,rs139253156
None,rs139258845
None,rs139259922
None,rs139264915
None,rs139265254
None,rs139272495
None,rs139293874
None,rs139304859
None,rs139305458
None,rs139305641
None,rs139310908
None,rs139320321
None,rs139324614
None,rs139325095
None,rs139330123
None,rs139334700
None,rs139335794
None,rs139341929
None,rs139342962
None,rs139345033
None,rs139346531
None,rs139348825
None,rs139355448
None,rs139356855
None,rs139359658
None,rs139363652
None,rs139371703
None,rs139377558
None,rs139381523
None,rs139381889
None,rs139395411
None,rs139406930
None,rs139409317
None,rs139413243
None,rs139413614
None,rs139414568
None,rs139426125
None,rs139435746
None,rs139436339
None,rs139437168
None,rs139440052
None,rs139443176
None,rs139446122
None,rs139453204
None,rs139454268
None,rs139455121
None,rs139460149
None,rs139461088
None,rs139461216
None,rs139468643
None,rs139469724
None,rs139474930
None,rs139479584
None,rs139481018
None,rs139482559
None,rs139496039
None,rs139509885
None,rs139510638
None,rs139513582
None,rs139521492
None,rs139533281
None,rs139539533
None,rs139553335
None,rs139553756
None,rs139554393
None,rs139560380
None,rs139571150
None,rs139574987
None,rs139577477
None,rs139587147
None,rs139589574
None,rs139598241
None,rs139599973
None,rs139601127
None,rs139627704
None,rs139647540
None,rs139653197
None,rs139658062
None,rs139662828
None,rs139663962
None,rs139680751
None,rs139698947
None,rs139699811
None,rs139701254
None,rs139711090
None,rs139721804
None,rs139725734
None,rs139747750
None,rs139748719
None,rs139757368
None,rs139760699
None,rs139760895
None,rs139761857
None,rs139778323
None,rs139785950
None,rs139786113
None,rs139794153
None,rs139801296
None,rs139803448
None,rs139806710
None,rs139817831
None,rs139823888
None,rs139829511
None,rs139831994
None,rs139853482
None,rs139863361
None,rs139865177
None,rs139872999
None,rs139875414
None,rs139876274
None,rs139878126
None,rs139887613
None,rs139893571
None,rs139897232
None,rs139910031
None,rs139912514
None,rs139917506
None,rs139924829
None,rs139929808
None,rs139933422
None,rs139963788
None,rs139967388
None,rs139970020
None,rs139973634
None,rs139979991
None,rs139980432
None,rs139987774
None,rs139992235
None,rs139996397
None,rs139997759
None,rs140009228
None,rs140017554
None,rs140019439
None,rs140031067
None,rs140038317
None,rs140046952
None,rs140053228
None,rs140057021
None,rs140067157
None,rs140090962
None,rs140091605
None,rs140092373
None,rs140097131
None,rs140102609
None,rs140103738
None,rs140107203
None,rs140107235
None,rs140110397
None,rs140122001
None,rs140124919
None,rs140134392
None,rs140142491
None,rs140148154
None,rs140151176
None,rs140158211
None,rs140161751
None,rs140162760
None,rs140170015
None,rs140176142
None,rs140180984
None,rs140186099
None,rs140187041
None,rs140187999
None,rs140201343
None,rs140201455
None,rs140204189
None,rs140221559
None,rs140222302
None,rs140223041
None,rs140225242
None,rs140240693
None,rs140242645
None,rs140247026
None,rs140253794
None,rs140254663
None,rs140254940
None,rs140272963
None,rs140285327
None,rs140292281
None,rs140293015
None,rs140294193
None,rs140298421
None,rs140302392
None,rs140304621
None,rs140304876
None,rs140307905
None,rs140309984
None,rs140317244
None,rs140317767
None,rs140320241
None,rs140327723
None,rs140343739
None,rs140351353
None,rs140363683
None,rs140369799
None,rs140372058
None,rs140372314
None,rs140375034
None,rs140377023
None,rs140377544
None,rs140389812
None,rs140390487
None,rs140391454
None,rs140392911
None,rs140414879
None,rs140417397
None,rs140417783
None,rs140421044
None,rs140434807
None,rs140441354
None,rs140441693
None,rs140447218
None,rs140450108
None,rs140452578
None,rs140470053
None,rs140487265
None,rs140488155
None,rs140490174
None,rs140504781
None,rs140516653
None,rs140519197
None,rs140530224
None,rs140531346
None,rs140538003
None,rs140542886
None,rs140543663
None,rs140544043
None,rs140553906
None,rs140555504
None,rs140562794
None,rs140564998
None,rs140574912
None,rs140584235
None,rs140588429
None,rs140588662
None,rs140595806
None,rs140609114
None,rs140620514
None,rs140622575
None,rs140626414
None,rs140630661
None,rs140643455
None,rs140648808
None,rs140650175
None,rs140672446
None,rs140674662
None,rs140674732
None,rs140674831
None,rs140674878
None,rs140676483
None,rs140679884
None,rs140693532
None,rs140694120
None,rs140697848
None,rs140698868
None,rs140705185
None,rs140712968
None,rs140713665
None,rs140719383
None,rs140719413
None,rs140721401
None,rs140732971
None,rs140743793
None,rs140746808
None,rs140753066
None,rs140756922
None,rs140760232
None,rs140762114
None,rs140768627
None,rs140777874
None,rs140778315
None,rs140795366
None,rs140796457
None,rs140797671
None,rs140801271
None,rs140810786
None,rs140819893
None,rs140820497
None,rs140821061
None,rs140829942
None,rs140841779
None,rs140846324
None,rs140848859
None,rs140860903
None,rs140861461
None,rs140863217
None,rs140864047
None,rs140883517
None,rs140885083
None,rs140886348
None,rs140886724
None,rs140887755
None,rs140888229
None,rs140888291
None,rs140893936
None,rs140895355
None,rs140900042
None,rs140900390
None,rs140915200
None,rs140921209
None,rs140925972
None,rs140926517
