Symbol,Approved.Symbol
LIPD,LPL
LIPL1,LIPJ
LIPL2,LIPK
LIPL3,LIPM
LIPL4,LIPN
LIPN3L,LPIN3
LIPO,HMGA2
LIPRIN,PPFIA1
LIR,CD300C
LIR-1,LILRB1
LIR-2,LILRB2
LIR-3,LILRB3
LIR-4,LILRA3
LIR-5,LILRB4
LIR-6,LILRA1
LIR-7,LILRA2
LIR-8,LILRB5
LIR1,LILRB1
LIR2,LILRB2
LIR3,LILRB3
LIR4,LILRA3
LIR5,LILRB4
LIR6,LILRA1
LIR7,LILRA2
LIR8,LILRB5
LIR9,LILRA5
LIRF,RNF39
LIS1,PAFAH1B1
LIS2,PAFAH1B1P1
LIS2P,PAFAH1B1P2
LISCH7,LSR
LISTERIN,LTN1
LISX,DCX
LIT,TNFRSF10C
LIT1,KCNQ1OT1
LITAFL,CDIP1
LIV-1,SLC39A6
LJAK,JAK3
LK4,CERK
LKAP,KIAA0430
LKB1,STK11
LKB1IP,STK11IP
LKLF,KLF2
LKN-1,CCL15
LKP,DHX9
LKRSDH,AASS
LL37,CAMP
LL5A,PHLDB1
LL5B,PHLDB2
LL5BETA,PHLDB2
LLC1,C20orf85
LLCDL1,FADS1
LLCDL2,FADS2
LLCDL3,FADS3
LLGL,LLGL1
LLGL3,STXBP5
LLGL4,STXBP5L
LLH,PLOD1
LLN4,GUCD1
LLPL,PLA2G15
LLREP3,RPS2
LLT1,CLEC2D
LMAN1IP,MCFD2
LMBR2,RNF32
LMC,CCL16
LMCD1DN,LINC00312
LMET1,GZMM
LMN1,LMNA
LMN2,LMNB2
LMNL1,LMNA
LMNT1,NTNG1
LMNT2,NTNG2
LMO5,CSRP2
LMO6,PRICKLE3
LMO7B,LIMCH1
LMP10,PSMB10
LMP2,PSMB9
LMP7,PSMB8
LMPB1,PAQR8
LMR1,AATK
LMR2,LMTK2
LMR3,LMTK3
LMTK1,AATK
LMX1,LMX1A
LMX1.1,LMX1A
LMYC,MYCL
LN,MLPH
LNC-ACTR3,LINC01191
LNC-ANG362,MIR222HG
LNC-C22orf32-1,LINC01315
LNC-DC,WFDC21P
LNC-DRMT2,LINC01230
LNC-FAM46A-1,LINC01526
LNC-MAN1A2-1,LINC01525
LNC-MBL2-4,LINC01468
LNC-PPP2R4-5,LINC01503
LNC-SCA7,ATXN7L3B
LNC-SPRR2D-1,LINC01527
LNC-TP53I13,ABHD15-AS1
LNCDC,WFDC21P
LNCRNA-508851,TMEM92-AS1
LNCRNA-AC130710,GACAT3
LNCRNA-BGL3,BGLT3
LNCRNA-CIR,VIM2P
LNCRNA-CMPK2,NRIR
LNCRNA-EBIC,TMPOP2
LNCRNA-ES1,LINC01108
LNCRNA-ES3,LINC00458
LNCRNA-GHET1,GHET1
LNCRNA-HEIH,HEIH
LNCRNA-JADE,JADRR
LNCRNA-LET,NPTN-IT1
LNCRNA-N1,LINC01109
LNCRNA-N2,MIR100HG
LNCRNA-N3,CACNA2D1
LNCRNA00122,TTTY3B
LNCUSMYCN,MYCNUT
LNHR,SELL
LNIR,PVRL4
LNK,SH2B3
LNOX1,DUOX1
LNOX2,DUOX2
LNP,NUSAP1
LNP,KIAA1715
LNP1,KIAA1715
LNP1,LNP1
LNX,LNX1
LNX3,PDZRN3
LNX4,PDZRN4
LOBE,AKT1S1
LOC100128569,C19orf71
LOC100129583,FAM47E
LOC100129643,POM121L11P
LOC100129792,CCDC152
LOC100130733,LRRC70
LOC100130776,AGAP2-AS1
LOC100132354,LINC01512
LOC100170765,ERICH4
LOC100170841,C17orf96
LOC100216545,KMT2E-AS1
LOC100505812,CARD8-AS1
LOC100507266,STX18-AS1
LOC101929110,CASC18
LOC121006,FAM186A
LOC123688,HYKK
LOC124512,METTL23
LOC126661,CCDC163P
LOC129531,MITD1
LOC129881,CCDC173
LOC130355,C2orf76
LOC131909,FAM172BP
LOC133491,C5orf47
LOC134121,C5orf49
LOC139363,MAGEA13P
LOC144983,HNRNPA1L2
LOC145853,C15orf61
LOC149643,SPATA45
LOC150383,CDPF1
LOC150622,LINC01105
LOC151194,METTL21A
LOC162073,ITPRIPL2
LOC165186,FAM179A
LOC196541,METTL21C
LOC201725,C4orf46
LOC220382,FAM181B
LOC255275,MYADML2
LOC257407,C2orf72
LOC283152,CCDC153
LOC283677,REC114
LOC283755,HERC2P3
LOC284100,YWHAEP7
LOC284371,ZNF841
LOC284889,MIF-AS1
LOC284998,LINC01114
LOC285194,TUSC7
LOC285498,RNF212
LOC285636,C5orf51
LOC285758,LINC01268
LOC286144,TRIQK
LOC338328,GPIHBP1
LOC339778,C2orf70
LOC339804,C2orf74
LOC340286,FAM183B
LOC341346,SMCO2
LOC342897,NCCRP1
LOC344371,SLC25A5P2
LOC345222,MSANTD1
LOC345630,FBLL1
LOC348120,LINC01193
LOC374920,C19orf68
LOC374973,TEX38
LOC387715,ARMS2
LOC387804,VSTM5
LOC387856,CCDC184
LOC388135,C15orf59
LOC388327,C17orf100
LOC388381,C17orf98
LOC388610,TRNP1
LOC388789,LINC00493
LOC388963,C2orf81
LOC389073,C2orf80
LOC391033,MKRN8P
LOC391356,PTRHD1
LOC391533,FLT1P1
LOC399888,FAM180B
LOC399947,C11orf87
LOC400451,FAM174B
LOC400566,C17orf97
LOC402665,IGLON5
LOC440087,SMCO3
LOC440145,MZT1
LOC440348,NPIPB15
LOC440350,NPIPB7
LOC440456,PLEKHM1P
LOC440585,FAM183A
LOC440905,FAR2P1
LOC441054,C4orf47
LOC441150,C6orf226
LOC441376,AARD
LOC492311,IGIP
LOC51035,UBXN1
LOC51149,C5orf45
LOC51236,HGH1
LOC51252,FAM178B
LOC51491,NOP16
LOC54103,GSAP
LOC54932,EXD3
LOC550112,UBA6-AS1
LOC554202,MIR31HG
LOC57722,IGDCC4
LOC606495,CYB5RL
LOC619208,FAM229B
LOC643338,C15orf62
LOC643714,CASC16
LOC643911,CRNDE
LOC644994,SMIM23
LOC645323,LINC00461
LOC645638,WFDC21P
LOC645811,CCDC154
LOC646174,C16orf90
LOC646892,SH2D7
LOC653319,KIAA0895L
LOC728008,PRR33
LOC728431,LINC01137
LOC728591,CCDC169
LOC728621,CCDC30
LOC728858,C12orf71
LOC730394,GTF2H2C_2
LOC84645,C22orf23
LOC90113,VWA5B2
LOC91893,FDXACB1
LOC92154,MTSS1L
LOC93082,NEURL3
LOCUS3182,STAM-AS1
LOCUS4010,LHX5-AS1
LOCUS5689,GATA6-AS1
LOCUS959,CAPN10-AS1
LOH11CR1A,C11orf87
LOH11CR1I,SIK2
LOH11CR2A,VWA5A
LOH12CR3,MANSC1
LOH18CR1,TNFRSF11A
LOH1CR12,LOH12CR1
LOH2CR12,LOH12CR2
LOH3CR2A,LINC00312
LOK,STK10
LOL,LOXL1
LONHS,LONP1
LONP,LONP2
LONPL,LONP2
LORD,C1QTNF5
LORSDH,AASS
LOST1,TUSC5
LOT1,PLAGL1
LOX-1,OLR1
LOXC,LOXL4
LOXL,LOXL1
LP,LPA
LP-A3,LPAR3
LP0,RPLP0
LP1,RPLP1
LP2,RPLP2
LP2561,MFSD7
LP3298,CARKD
LP3663,ATPAF2
LPA1,LPAR1
LPA2,LPAR2
LPA3,LPAR3
LPA4,LPAR4
LPA5,LPAR5
LPAAT-ALPHA,AGPAT1
LPAAT-DELTA,AGPAT4
LPAAT-E,AGPAT5
LPAAT-EPSILON,AGPAT5
LPAAT-ETA,LPCAT4
LPAAT-GAMMA,AGPAT3
LPAAT-THETA,AGPAT9
LPAAT-ZETA,AGPAT6
LPAP,ACP6
LPAP,PTPRCAP
LPC,PCSK7
LPC1,ANXA1
LPC2A,ANXA2P1
LPC2B,ANXA2P2
LPC2C,ANXA2P3
LPC2D,ANXA2
LPD-2,NGDN
LPDL,LIPI
LPDLR,LIPH
LPEAT1,MBOAT1
LPEAT2,LPCAT4
LPGP,THRSP
LPGP1,THRSP
LPH,POMC
LPHA,SCGB1D1
LPHB,SCGB1D2
LPHC,SCGB2A1
LPHH1,LPHN2
LPI,SLC7A7
LPI-PC1,SLC7A8
LPIAT,MBOAT7
LPIPOX,PIPOX
LPL1,LYPLA1
LPLUNC1,BPIFB1
LPLUNC2,BPIFB2
LPLUNC3,BPIFB3
LPLUNC4,BPIFB4
LPLUNC6,BPIFB6
LPNA3,PPFIA3
LPP1,VANGL2
LPP1,PPAP2A
LPP2,PPAP2C
LPP3,PPAP2B
LPPM429,REG3G
LPR4,TM6SF2
LPRP,PRR4
LPS,IRF6
LPSB,SELENBP1
LPTL,PINX1
LPTN,XCL1
LPTS,PINX1
LPTS-RP1,SMG5
LPTSRP1,SMG5
LQFBS-1,PRRC2B
LQK1,FLVCR1-AS1
LQT,KCNQ1
LQT1,KCNQ1
LQT10,SCN4B
LQT11,AKAP9
LQT12,SNTA1
LQT13,KCNJ5
LQT2,KCNH2
LQT3,SCN5A
LQT4,ANK2
LQT5,KCNE1
LQT6,KCNE2
LQT7,KCNJ2
LQT8,CACNA1C
LQT9,CAV3
LR11,SORL1
LR3,LRP5
LR8,TMEM176B
LRAD3,LDLRAD3
LRANK1,LRRN2
LRAP,ERAP2
LRAP35A,LURAP1
LRBP,MVK
LRDD,PIDD1
LRE1,L1RE1
LRE2,L1RE2
LRE3,L1RE3
LRE4,L1RE2
LRF,ZBTB7A
LRF,CREBRF
LRG,LRG1
LRG-47,IRGM
LRG47,IRGM
LRH-1,NR5A2
LRIG4,LRRC4B
LRN,LRCH4
LRP,RPSA
LRP,LRP1
LRP,MVP
LRP,PTPRA
LRP-3,LRP3
LRP-4,LRP4
LRP-8,LRP8
LRP-DIT,LRP1B
LRP1,C1D
LRP130,LRPPRC
LRP15,LRRC3B
LRP16,MACROD1
LRP1A,LRP1
LRP2BP,ANKRD37
LRP4,CORIN
LRP7,LRP5
LRP9,SORL1
LRP9,LRP10
LRPB7,LRRC23
LRPC21,PSMG1
LRPDIT,LRP1B
LRPR1,CENPI
LRR-1,LRR1
LRRC10A,LRRC10
LRRC11,SLITRK5
LRRC12,SLITRK1
LRRC14A,LRRC14
LRRC14OS,LRRC24
LRRC16,LRRC16A
LRRC16C,RLTPR
LRRC21,LRIT1
LRRC22,LRIT2
LRRC33,NRROS
LRRC35,TBCEL
LRRC37A4,LRRC37A4P
LRRC37B2,LRRC37BP1
LRRC44,LRRIQ3
LRRC5,LRRC8D
LRRC50,DNAAF1
LRRC51,LRTOMT
LRRC54,TSKU
LRRC62,ELFN2
LRRC64,LRRIQ4
LRRC65,MFHAS1
LRRC67,PPP1R42
LRRC68,PPP1R37
LRRC74,LRRC74A
LRRC76,C21orf2
LRRC8,LRRC8A
LRRD1-AS1,CYP51A1-AS1
LRRIQ2,CEP97
LRRN1,LRCH4
LRRN1,LRRN1
LRRN5,LRRN2
LRRN6A,LINGO1
LRRN6B,LINGO3
LRRN6C,LINGO2
LRRN6D,LINGO4
LRS1,FLNB
LRTP,LRRC6
LSAMP-AS2,LINC00903
LSAMP-AS3,TUSC7
LSAMP-AS4,LINC00901
LSD,DNASE1L3
LSD1,KDM1A
LSD2,KDM1B
LSDA5,PLIN5
LSDP5,PLIN5
LSE,SIAE
LSECTIN,CLEC4G
LSEL,SELL
LSF,TFCP2
LSFC,LRPPRC
LSFR1,CIZ1
LSFR2,DOLPP1
LSH,SLC11A1
LSH,HELLS
LSH-B,LHB
LSIGN,CLEC4M
LSIRF,IRF4
LSK,MATK
LSLCL,CLEC11A
LSM12P,LSM12P1
LSM13,LSM14B
LSM16,EDC3
LSM6P,LSM6P1
LSMD1,NAA38
LSN,SPN
LSR5,TXLNG
LSR68,ELMSAN1
LSR7,GPALPP1
LSST,CHST4
LST-1,SLCO1B1
LST-1,LST1
LST003,POGK
LST005,MSTO1
LST3,SLCO1B7
LST8,MLST8
LT,LTA
LTAP,VANGL2
LTB4DH,PTGR1
LTB4H,CYP4F3
LTB4R1,LTB4R
LTBP-4,LTBP4
LTBP-4L,LTBP4
LTBP2,LTBP3
LTBP3,LTBP2
LTG,TNFSF14
LTG19,MLLT1
LTM1,RTP3
LTN,XCL1
LTRPC1,TRPM1
LTRPC2,TRPM2
LTRPC3,TRPM3
LTRPC5,TRPM5
LTRPC7,TRPM7
LU,BCAM
LU1,PDZD4
LU103,SCGB3A2
LU105,SCGB3A1
LUC7,LUC7L
LUC7A,LUC7L3
LUC7B1,LUC7L
LUC7B2,LUC7L2
LUCA-1,SEMA3B
LUCA-2,HYAL2
LUCA-3,HYAL3
LUCA1,HYAL1
LUCA14,HYAL3
LUCA15,RBM5
LUCA2,HYAL2
LUCT,CXCL8
LUGP4,UGT1A9
LULL1,TOR1AIP2
LUMA,TMEM43
LUMAN,CREB3
LUN,TOPORS
LUNX,BPIFA1
LUST,RBM5-AS1
LUSTR1,GPR107
LUSTR2,GPR108
LUZP,LUZP1
LUZP3,LRRC2-AS1
LUZP3P,LRRC2-AS1
LUZP5,NCAPG2
LUZPP1,LRRC2-AS1
LVLF3112,PATE2
LVM,MLC1
LW,ICAM4
LW-1,HSFX1
LXA4R,FPR2
LXNL,RARRES1
LXR-A,NR1H3
LXR-B,NR1H2
LY-GDI,ARHGDIB
LY108,SLAMF6
LY110,SLC46A2
LY117,NCR3
LY49,KLRAP1
LY49L,KLRAP1
LY57,BLNK
LY6-D,LY6G6D
LY64,CD180
LY6DL,GML
LY6G6D,LY6G6F
LY6LS,SLURP1
LY74,EPCAM
LY78,CD180
LY86-AS,LY86-AS1
LY86AS,LY86-AS1
LY94,NCR1
LY95,NCR2
LYAAT-1,SLC36A1
LYAM-1,SELL
LYAM1,SELL
LYB2,CD72
LYC1,LYZL6
LYC2,LYZL1
LYC3,SPACA3
LYC4,LYZL4
LYC5,SPACA5
LYCAT,LCLAT1
LYDG10,C19orf53
LYF-1,IKZF1
LYGH,LYG2
LYGPR,GPER1
LYK,ITK
LYK5,STRADA
LYMPHOTACTIN,XCL1
LYNAP,CXCL8
LYP,PTPN22
LYP,SH2D1A
LYP1,PTPN22
LYP2,PTPN22
LYPD7,LYPD6B
LYPDC1,LYPD1
LYPDC2,LYPD2
LYPLA2L,LYPLA2P1
LYPLA3,PLA2G15
LYRIC,MTDH
LYRM3,NDUFB9
LYRM6,NDUFA6
LYRM8,SDHAF1
LYS2,AASDH
LYS5,AASDHPPT
LYSAL1,ENTPD4
LYSP100-A,SP140
LYSP100-B,SP140
LYST-IT2,LYST-AS1
LYT-10,NFKB2
LYVE-1,LYVE1
LYZL3,SPACA3
LYZL5,SPACA5
LYZL7,LALBA
LZ16,ANKRD11
LZAP,CDK5RAP3
LZIP,CREB3
LZK,MAP3K13
LZK1,GGNBP2
LZP,OIT3
LZTR-1,LZTR1
LZTR2,SEC16B
LZTS4,N4BP3
M-ABC1,ABCB8
M-ABC1,ABCF2
M-ABC2,ABCB10P1
M-ABC2,ABCB10
M-BAR,GPBAR1
M-CPT1,CPT1B
M-CSF,CSF1
M-FABP,PMP2
M-RAS,MRAS
M-RIP,MPRIP
M-SEMAK,SEMA3E
M1,LINC00948
M11S1,CAPRIN1
M12.219,ADAMDEC1
M130,CD163
M130,PPP1R12A
M160,CD163L1
M17S1,FLOT2
M17S2,NBR1
M18BP1,MIS18BP1
M19,UQCC2
M1S1,TACSTD2
M2BP,LGALS3BP
M3.8,ERVK-16
M31,CBX1
M3S1,TM4SF1
M40,TUBB
M41,DSCAM-AS1
M4S1,EPCAM
M68,TNFRSF6B
M6A,METTL3
M6B,GPM6B
M6P-R,IGF2R
M6PRBP1,PLIN3
M6S1,ENPP1
M7V1,SLC1A5
M8,PRNT
M8-9,ATP6AP2
M83,TMEM8A
M9,EIF3K
M9.2,ATP6V0E1
M96,MTF2
MA1,PNMA1
MA2,PNMA2
MA3,PNMA3
MA5,PNMA3
MAAI,GSTZ1
MAAT1,MRPL28
MABA1,KIAA1324
MABC1,ABCB8
MABC2,ABCB10P1
MAC-1,ITGAM
MAC-1,ITGB2
MAC-2,LGALS3
MAC-2-BP,LGALS3BP
MAC25,IGFBP7
MAC30,TMEM97
MAC387,S100A9
MACAM1,MADCAM1
MACF,MACF1
MACF2,DST
MACGAP,ARHGAP18
MACH,CASP8
MACMARCKS,MARCKSL1
MACROD3,GDAP2
MACROH2A1.2,H2AFY
MACROH2A2,H2AFY2
MACROSIALIN,CD68
MACS,MARCKS
MACS1,ACSM1
MACSL1,MARCKSP1
MAD,AMPD1
MAD,MXD1
MAD-3,NFKBIA
MAD1,MXD1
MAD1,MAD1L1
MAD2,MAD2L1
MAD2,MXI1
MAD2B,MAD2L2
MAD2L1P,MAD2L1P1
MAD3,MXD3
MAD3L,BUB1B
MAD4,MXD4
MAD5,MGA
MAD6,MNT
MAD7,MLX
MADA,AMPD1
MADD,ETFA
MADD,MADD
MADER,NAB2
MADH1,SMAD1
MADH2,SMAD2
MADH3,SMAD3
MADH4,SMAD4
MADH5,SMAD5
MADH6,SMAD6
MADH6,SMAD9
MADH7,SMAD6
MADH7,SMAD7
MADH8,SMAD7
MADH9,SMAD9
MADHIP,ZFYVE9
MADM,ADAM10
MADM,NRBP1
MADP-1,ZCRB1
MADP1,ZCRB1
MADR1,SMAD1
MADR2,SMAD2
MAEG,EGFL6
MAFA,KLRG1
MAFA,MAFA
MAFA-L,KLRG1
MAFBX,FBXO32
MAFIPL,TEKT4P2
MAG,ERCC2
MAG1,AGPAT9
MAGE-11,MAGEA11
MAGE-41,MAGEA4
MAGE-B5,MAGEB5
MAGE-B6,MAGEB6
MAGE-C1,MAGEC1
MAGE-C2,MAGEC2
MAGE-C3,MAGEC3
MAGE-D2,MAGED2
MAGE-D3,TRO
MAGE-E1,MAGED4
MAGE-X2,MAGEA4
MAGE-XP,MAGEB1
MAGE-XP-2,MAGEB2
MAGE1,MAGED4
MAGE1,MAGEA1
MAGE10,MAGEA10
MAGE11,MAGEA11
MAGE12,MAGEA12
MAGE2,MAGEA2B
MAGE2,MAGEA2
MAGE3,MAGEA3
MAGE4,MAGEA4
MAGE4A,MAGEA4
MAGE4B,MAGEA4
MAGE5,MAGEA5
MAGE6,MAGEA6
MAGE7,MAGEA7P
MAGE8,MAGEA8
MAGE9,MAGEA9
MAGEA-11,MAGEA11
MAGEA2,MAGEA2B
MAGEA2A,MAGEA2
MAGEA2B,MAGEA2B
MAGEA7,MAGEA7P
MAGEB6A,MAGEB6
MAGEB6B,MAGEB6P1
MAGED,MAGED2
MAGED3,TRO
MAGEE1,MAGEC2
MAGEE1,MAGEE1
MAGEG1,NDNL2
MAGEL1,MAGEB1
MAGEL3,NDNL2
MAGI-1,MAGI1
MAGI-2,MAGI2
MAGI-3,MAGI3
MAGI1,CNKSR3
MAGI2-IT,MAGI2-IT1
MAGI2IT,MAGI2-IT1
MAGICIN,MED28
MAGMAS,PAM16
MAGOH1,MAGOH
MAGOHA,MAGOH
MAGOHP,MAGOH3P
MAGOHP1,MAGOH3P
MAGP,MFAP2
MAGP-1,MFAP2
MAGP2,MFAP5
MAI,GSTZ1
MAIL,NFKBIZ
MAIR,TRIM35
MAK,ALPK3
MAK,MAK
MAK10,NAA35
MAK11,PAK1IP1
MAK16L,MAK16
MAK3,NAA30
MAK3,NAA50
MAK3P,NAA30
MAKAP,AKAP6
MAL,TIRAP
MAL,MKL1
MAL,MAL
MALAT-1,MALAT1
MALIN,NHLRC1
MALS-1,LIN7A
MALS-2,LIN7B
MALS-3,LIN7C
MALT2,BIRC3
MAM,SGCG
MAM-1,MAML1
MAM2,MAML3
MAM3,MAML2
MAMDC1,MDGA2
MAMDC2-AS2,SMC5-AS1
MAMDC3,MDGA1
MAN1,LEMD3
MAN1B,MAN1A2
MANA,MAN2C1
MANA-ER,MAN1B1
MANA1,MAN2C1
MANA2,MAN2A1
MANA2X,MAN2A2
MANB,MAN2B1
MANDASELIN,MANEA
MANSC2,SPINT1
MANSC3,LRP11
MAP-1,MOAP1
MAP126,SPAG5
MAP17,PDZK1IP1
MAP1A,METAP1
MAP1ALC3,MAP1LC3A
MAP1BLC3,MAP1LC3A
MAP1D,METAP1D
MAP1L,MAP1A
MAP2,METAP2
MAP2,MAP2
MAP2A,MAP2
MAP2B,MAP2
MAP2C,MAP2
MAP2K1IP1,LAMTOR3
MAP3K16,TAOK1
MAP3K17,TAOK2
MAP3K18,TAOK3
MAP3K7IP1,TAB1
MAP3K7IP2,TAB2
MAP3K7IP3,TAB3
MAP4K6,MINK1
MAP5,MAP1B
MAP8,MAP1S
MAP80,MCM3AP
MAP97,MFI2
MAPA,LRRC25
MAPBP,LAMTOR3
MAPBPIP,LAMTOR2
MAPE,PRAME
MAPJD,C14orf169
MAPK2,MAPK1
MAPKAP3,MAPKAPK3
MAPKK1,MAP2K1
MAPKK3,MAP2K3
MAPKK5,MAP2K5
MAPKK6,MAP2K6
MAPKKK1,MAP3K1
MAPKKK3,MAP3K3
MAPKKK4,MAP3K4
MAPKKK5,MAP3K5
MAPKKK6,MAP3K6
MAPKKKK3,MAP4K3
MAPKSP1,LAMTOR3
MAPKSP1AP,LAMTOR2
MAPL,MUL1
MAPM,ANP32A
MAPMODULIN,ANP32A
MAPO1,FNIP2
MAPO2,STPG1
MAPRE1P,MAPRE1P1
MAPTIT,STH
MAPTL,MAPT
MAQ1,HEXIM1
MAR,IRF1
1-Mar,RTL1
2-Mar,PEG10
3-Mar,ZCCHC5
4-Mar,ZCCHC16
5-Mar,RGAG4
6-Mar,LDOC1L
7-Mar,LDOC1
8-Mar,FAM127A
MAR8A,FAM127B
MAR8B,FAM127C
MAR8C,FAM127A
9-Mar,RGAG1
MARAPSIN,PRSS27
MARC,CCL7
MARCH-I,1-Mar
MARCH-II,2-Mar
MARCH-III,3-Mar
MARCH-IV,4-Mar
MARCH-V,5-Mar
MARCH-VI,6-Mar
MARCH-VII,7-Mar
MARCH-VIII,8-Mar
MARCH-X,10-Mar
MARCH-XI,11-Mar
MARE,NPRL3
MARF,MFN2
MARF1,KIAA0430
MARK,MARK1
MARKK,TAOK1
MARKL1,MARK4
MARLIN1,JAKMIP1
MARP3,ANKRD23
MART,4-Sep
MART-2,HHAT
MART1,RTL1
MART1,MLANA
MART2,PEG10
MART2,HHAT
MART3,ZCCHC5
MART4,ZCCHC16
MART5,RGAG4
MART6,LDOC1L
MART7,LDOC1
MART8,FAM127A
MART9,RGAG1
MAS-L,MAS1L
MAS1LP,MAS1LP1
MAS20,TOMM20
MASA,ENOPH1
MASA,L1CAM
MASCRNA,MALAT1
MASK,STK26
MASK,ANKHD1
MASK-BP3,ANKHD1-EIF4EBP3
MASL1,MFHAS1
MASP,MASP1
MASP1P1,MASP2
MASPIN,SERPINB5
MASS,FBN1
MASS1,GPR98
MAST,C9orf9
MAST,SPG21
MAST1,CLASP1
MAST1,MAST1
MAST205,MAST2
MAST9,SPARCL1
MASTIN,TPSP2
MASTR,MAMSTR
MAT,MAT1A
MAT-8,FXYD3
MAT1,MNAT1
MAT1,PEA15
MAT1H,PEA15
MAT89BB,ASUN
MATA1,MAT1A
MATA2,MAT2A
MATE1,SLC47A1
MATE2,SLC47A2
MATE2-K,SLC47A2
MATER,NLRP5
MATH-1,ATOH1
MATH-2,NEUROD6
MATH-3,NEUROD4
MATH1,ATOH1
MATH4A,NEUROG2
MATH4B,NEUROG3
MATH4C,NEUROG1
MATH5,ATOH7
MATII,MAT2A
MATIIBETA,MAT2B
MATL2963,C1RL-AS1
MATP,SLC45A2
MATR1,SLCO2A1
MATS1,MOB1A
MATT,TMEM79
MAU-2,MAU2
MAU2L,MAU2
MAV,KLHL2
MAVP1,KLHL2P1
MAWBP,PBLD
MAWD,STRAP
MAWDBP,PBLD
MAXER,UFL1
MAXP1,RASSF5
MAZR,PATZ1
MB-1,CD79A
MB1,PSMB5
MB20,NAP1L3
MB67,NR1I3
MBAB,AKR1C1
MBC2,ESYT1
MBC3205,TMEM205
MBD3L,MBD3L1
MBDIN,GPN1
MBK1,KCNA1
MBL,MBL3P
MBL,MBL2
MBL1P1,MBL1P
MBLL,MBNL2
MBLL39,MBNL2
MBLR,PCGF6
MBLX39,MBNL3
MBNL,MBNL1
MBNT,LAPTM4A
MBOAT3,HHATL
MBOAT5,LPCAT3
MBP,PRG2
MBP,MBP
MBP-1,ENO1
MBP-1,HIVEP1
MBP-2,HIVEP2
MBPH,PRG3
MBR,TSPO
MBRL,TMEM259
MBS,MBS1
MBS,PPP1R12A
MBS85,PPP1R12C
MBT,PRTN3
MBXL,MBNL3
MC3,MC3R
MC56,CD44
MC7,TRIM44
MCA-32,MILR1
MCAD,ACADM
MCADH,ACADM
MCAF,CCL2
MCAK,KIF2C
MCANP,CAPN2
MCAP,BRD4
MCARP,ANKRD1
MCART1,SLC25A51
MCART2,SLC25A52
MCART3P,SLC25A51P1
MCART4P,SLC25A51P2
MCART5P,SLC25A51P3
MCART6,SLC25A53
MCC2,USHBP1
MCCA,MCCC1
MCCB,MCCC2
MCD,MLYCD
MCD,MUC1
MCD48,CD48
MCD84,CD84
MCDC1,CHST6
MCDR2,AKR1C2
MCDR2,PROM1
MCEEP,OR7E46P
MCEF,AFF4
MCF3,ROS1
MCFD1,LMAN1
MCFD2L,MCFD2P1
MCFP,SLC25A40
MCG10,PCBP4
MCG18,DNAJC4
MCG4,ZFPL1
MCGF,IL3
MCH,PMCH
MCH1R,MCHR1
MCH2,CASP6
MCH2,MCHR2
MCH2R,MCHR2
MCH3,CASP7
MCH4,CASP10
MCH5,CASP8
MCH6,CASP9
MCI,MCIDAS
MCI1,LRP8
MCIF,CCL14
MCIN,MCIDAS
MCJ,DNAJC15
MCKD,MUC1
MCKD1,MUC1
MCL-1,MCL1
MCLC,CLCC1
MCM-BP,MCMBP
MCM1,SRF
MCM2,MCM7
MCM3AP-AS,MCM3AP-AS1
MCM3APAS,MCM3AP-AS1
MCMDC1,MCM9
MCMP,ADAM9
MCMPMLTNA,ADAM12
MCMT,DNMT1
MCNAA,BPHL
MCOPCB5,SHH
MCOPS4,ANOP1
MCP,CAPG
MCP,CD46
MCP-1,CCL2
MCP-1-R,CCR2
MCP-2,CCL8
MCP-3,CCL7
MCP-4,CCL13
MCP1,CCL2
MCP3,CCL7
MCPH2,WDR62
MCPH3,CDK5RAP2
MCPH4,CEP152
MCPH5,ASPM
MCPH6,CENPJ
MCPH7,STIL
MCPHA,SLC25A19
MCPIP1,ZC3H12A
MCPIP2,ZC3H12B
MCPIP3,ZC3H12C
MCPIP4,ZC3H12D
MCPL,CD46P1
MCPR,ANAPC1
MCRS2,MCRS1
MCSC,SLC25A25
MCSF,CSF1
MCSP,CSPG4
MCSP,GPX4
MCSP,SMCP
MCSPG,CSPG4
MCT,SLC16A1
MCT,MCAT
MCT-1,MCTS1
MCT1,SLC16A1
MCT10,SLC16A10
MCT11,SLC16A11
MCT12,SLC16A12
MCT13,SLC16A13
MCT14,SLC16A14
MCT2,SLC16A7
MCT3,SLC16A3
MCT3,SLC16A8
MCT4,SLC16A3
MCT4,SLC16A4
MCT5,SLC16A4
MCT5,SLC16A5
MCT6,SLC16A5
MCT6,SLC16A6
MCT7,SLC16A2
MCT7,SLC16A6
MCT8,SLC16A2
MCT9,SLC16A9
MCTS2,MCTS2P
MD-1,LY86
MD-2,LY96
MD6,FBXW2
MDA-5,IFIH1
MDA-7,IL24
MDA1,IL19
MDA5,IFIH1
MDAC1,TMEM190
MDB,ABR
MDC,CCL22
MDC,ADAM11
MDC-3.13,TNFAIP8
MDC-LM,ADAM28
MDC-LS,ADAM28
MDC15,ADAM15
MDC1C,FKRP
MDC2,ADAM22
MDC3,ADAM23
MDC4,PIGN
MDC9,ADAM9
MDCR,PAFAH1B1
MDDC,CYMD
MDDX28,DDX28
MDEG,ASIC2
MDF2,ITGB1
MDG,MPG
MDG1,DNAJB9
MDGF,PPBP
MDGI,FABP3
MDGT,HAGLR
